## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V9ER.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V9ER.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V9ER.sorted.bam --OUTPUT WR025V9ER.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	UNIQUE	49	71557088	5843501	9	0.956502	0.000396			
All Reads	UNIQUE	50	67428237	5493588	9	0.954289	0.000407			
All Reads	UNIQUE	51	62599246	5102955	9	0.954813	0.000423			
All Reads	UNIQUE	52	57591828	4709399	9	0.95779	0.000441			
All Reads	UNIQUE	53	52909869	4345475	9	0.96198	0.000461			
All Reads	UNIQUE	54	48741872	4031192	9	0.968717	0.000482			
All Reads	UNIQUE	55	45067388	3755729	9	0.976107	0.000504			
All Reads	UNIQUE	56	41525675	3479523	9	0.981451	0.000526			
All Reads	UNIQUE	57	37757460	3166919	9	0.982426	0.000552			
All Reads	UNIQUE	58	33606878	2807111	9	0.978356	0.000584			
All Reads	UNIQUE	59	29109921	2415869	9	0.972071	0.000625			
All Reads	UNIQUE	60	24599672	2014524	9	0.959199	0.000676			
All Reads	UNIQUE	61	20433567	1648477	9	0.94494	0.000736			
All Reads	UNIQUE	62	16876845	1338273	9	0.928793	0.000803			
All Reads	UNIQUE	63	13942437	1082440	8	0.909349	0.000874			
All Reads	UNIQUE	64	11519972	875403	8	0.890066	0.000951			
All Reads	UNIQUE	65	9502746	705693	8	0.869826	0.001035			
All Reads	UNIQUE	66	7831353	569486	8	0.851749	0.001129			
All Reads	UNIQUE	67	6363395	453389	8	0.834541	0.001239			
All Reads	UNIQUE	68	5089284	355958	8	0.819233	0.001373			
All Reads	UNIQUE	69	4074158	280688	8	0.806959	0.001523			
All Reads	UNIQUE	70	3269564	220703	8	0.79065	0.001683			
All Reads	UNIQUE	71	2617980	173601	8	0.776697	0.001864			
All Reads	UNIQUE	72	2117944	136780	8	0.756439	0.002045			
All Reads	UNIQUE	73	1728380	110548	8	0.749165	0.002253			
All Reads	UNIQUE	74	1425788	90471	8	0.743225	0.002471			
All Reads	UNIQUE	75	1200072	75282	7	0.734767	0.002678			
All Reads	UNIQUE	76	1034915	64018	7	0.724541	0.002864			
All Reads	UNIQUE	77	911308	54823	7	0.704633	0.003009			
All Reads	UNIQUE	78	811087	46744	7	0.675032	0.003122			
All Reads	UNIQUE	79	708223	39717	7	0.656859	0.003296			
All Reads	UNIQUE	80	604166	33025	7	0.640254	0.003523			
All Reads	UNIQUE	81	508396	26978	7	0.621546	0.003784			
All Reads	UNIQUE	82	426951	21629	7	0.593368	0.004035			
All Reads	UNIQUE	83	351300	17134	7	0.571276	0.004364			
All Reads	UNIQUE	84	272651	13225	7	0.568138	0.00494			
All Reads	UNIQUE	85	197877	10025	7	0.59341	0.005927			
All Reads	UNIQUE	86	132088	7042	7	0.624451	0.007441			
All Reads	UNIQUE	87	86165	5422	7	0.737045	0.01001			
All Reads	UNIQUE	88	59409	3485	7	0.687094	0.011639			
All Reads	UNIQUE	89	38378	2194	6	0.669607	0.014296			
All Reads	UNIQUE	90	25093	1485	6	0.69317	0.017988			
All Reads	UNIQUE	91	16061	1001	6	0.730007	0.023073			
All Reads	UNIQUE	92	9569	643	6	0.787064	0.031039			
All Reads	UNIQUE	93	6011	498	6	0.970394	0.043484			
All Reads	UNIQUE	94	3424	225	6	0.769687	0.051312			
All Reads	UNIQUE	95	1675	63	5	0.440546	0.055504			
All Reads	UNIQUE	96	986	20	6	0.237585	0.053126			
All Reads	UNIQUE	97	658	10	6	0.178008	0.056291			
All Reads	UNIQUE	98	328	5	9	0.178551	0.07985			
All Reads	UNIQUE	99	133	1	2	0.088067	0.088067			
All Reads	UNIQUE	100	339	8	8	0.276411	0.097726			


